,root,node,value,borough,color
1017,Steinway,Steinway,35,Queens,#AAAAAA
1018,Steinway,Astoria,16,Queens,#AAAAAA
1025,Stuyvesant Heights,Bedford,65,Brooklyn,#34DDDD
1026,Stuyvesant Heights,Stuyvesant Heights,41,Brooklyn,#34DDDD
1027,Stuyvesant Heights,Clinton Hill,20,Brooklyn,#34DDDD
1028,Stuyvesant Heights,North Side-South Side,18,Brooklyn,#34DDDD
1029,Stuyvesant Heights,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,13,Brooklyn,#34DDDD
1030,Stuyvesant Heights,Crown Heights North,11,Brooklyn,#34DDDD
1050,Stuyvesant Town-Cooper Village,Hudson Yards-Chelsea-Flatiron-Union Square,243,Manhattan,#333
1051,Stuyvesant Town-Cooper Village,Murray Hill-Kips Bay,227,Manhattan,#333
1052,Stuyvesant Town-Cooper Village,West Village,172,Manhattan,#333
1053,Stuyvesant Town-Cooper Village,East Village,143,Manhattan,#333
1054,Stuyvesant Town-Cooper Village,Midtown-Midtown South,133,Manhattan,#333
1055,Stuyvesant Town-Cooper Village,Stuyvesant Town-Cooper Village,123,Manhattan,#333
1056,Stuyvesant Town-Cooper Village,Gramercy,117,Manhattan,#333
1057,Stuyvesant Town-Cooper Village,Turtle Bay-East Midtown,97,Manhattan,#333
1058,Stuyvesant Town-Cooper Village,SoHo-TriBeCa-Civic Center-Little Italy,73,Manhattan,#333
1059,Stuyvesant Town-Cooper Village,Lower East Side,71,Manhattan,#333
1060,Stuyvesant Town-Cooper Village,Battery Park City-Lower Manhattan,70,Manhattan,#333
1061,Stuyvesant Town-Cooper Village,Chinatown,61,Manhattan,#333
1062,Stuyvesant Town-Cooper Village,Clinton,13,Manhattan,#333
1063,Stuyvesant Town-Cooper Village,Lenox Hill-Roosevelt Island,10,Manhattan,#333
1089,Turtle Bay-East Midtown,Midtown-Midtown South,844,Manhattan,#333
1090,Turtle Bay-East Midtown,Turtle Bay-East Midtown,555,Manhattan,#333
1091,Turtle Bay-East Midtown,Murray Hill-Kips Bay,399,Manhattan,#333
1092,Turtle Bay-East Midtown,Hudson Yards-Chelsea-Flatiron-Union Square,251,Manhattan,#333
1093,Turtle Bay-East Midtown,Clinton,240,Manhattan,#333
1094,Turtle Bay-East Midtown,Lenox Hill-Roosevelt Island,223,Manhattan,#333
1095,Turtle Bay-East Midtown,West Village,126,Manhattan,#333
1096,Turtle Bay-East Midtown,East Village,114,Manhattan,#333
1097,Turtle Bay-East Midtown,Lincoln Square,111,Manhattan,#333
1098,Turtle Bay-East Midtown,Gramercy,75,Manhattan,#333
1099,Turtle Bay-East Midtown,park-cemetery-etc-Manhattan,75,Manhattan,#333
1100,Turtle Bay-East Midtown,Yorkville,70,Manhattan,#333
1101,Turtle Bay-East Midtown,Lower East Side,65,Manhattan,#333
1102,Turtle Bay-East Midtown,Stuyvesant Town-Cooper Village,62,Manhattan,#333
1103,Turtle Bay-East Midtown,Upper East Side-Carnegie Hill,61,Manhattan,#333
1104,Turtle Bay-East Midtown,SoHo-TriBeCa-Civic Center-Little Italy,59,Manhattan,#333
1105,Turtle Bay-East Midtown,Battery Park City-Lower Manhattan,58,Manhattan,#333
1106,Turtle Bay-East Midtown,Chinatown,50,Manhattan,#333
1107,Turtle Bay-East Midtown,Upper West Side,36,Manhattan,#333
1108,Turtle Bay-East Midtown,North Side-South Side,18,Manhattan,#333
1109,Turtle Bay-East Midtown,Hunters Point-Sunnyside-West Maspeth,18,Manhattan,#333
1110,Turtle Bay-East Midtown,Queensbridge-Ravenswood-Long Island City,13,Manhattan,#333
1125,Upper East Side-Carnegie Hill,Midtown-Midtown South,122,Manhattan,#333
1126,Upper East Side-Carnegie Hill,Upper East Side-Carnegie Hill,103,Manhattan,#333
1127,Upper East Side-Carnegie Hill,park-cemetery-etc-Manhattan,95,Manhattan,#333
1128,Upper East Side-Carnegie Hill,Lenox Hill-Roosevelt Island,91,Manhattan,#333
1129,Upper East Side-Carnegie Hill,Turtle Bay-East Midtown,78,Manhattan,#333
1130,Upper East Side-Carnegie Hill,Yorkville,75,Manhattan,#333
1131,Upper East Side-Carnegie Hill,Lincoln Square,71,Manhattan,#333
1132,Upper East Side-Carnegie Hill,Murray Hill-Kips Bay,41,Manhattan,#333
1133,Upper East Side-Carnegie Hill,East Harlem South,40,Manhattan,#333
1134,Upper East Side-Carnegie Hill,Upper West Side,40,Manhattan,#333
1135,Upper East Side-Carnegie Hill,Hudson Yards-Chelsea-Flatiron-Union Square,39,Manhattan,#333
1136,Upper East Side-Carnegie Hill,Clinton,32,Manhattan,#333
1137,Upper East Side-Carnegie Hill,SoHo-TriBeCa-Civic Center-Little Italy,13,Manhattan,#333
1138,Upper East Side-Carnegie Hill,West Village,13,Manhattan,#333
1139,Upper East Side-Carnegie Hill,Gramercy,11,Manhattan,#333
1154,Upper West Side,Upper West Side,465,Manhattan,#333
1155,Upper West Side,Lincoln Square,291,Manhattan,#333
1156,Upper West Side,Midtown-Midtown South,196,Manhattan,#333
1157,Upper West Side,park-cemetery-etc-Manhattan,167,Manhattan,#333
1158,Upper West Side,Hudson Yards-Chelsea-Flatiron-Union Square,154,Manhattan,#333
1159,Upper West Side,Morningside Heights,93,Manhattan,#333
1160,Upper West Side,Clinton,87,Manhattan,#333
1161,Upper West Side,Upper East Side-Carnegie Hill,61,Manhattan,#333
1162,Upper West Side,Lenox Hill-Roosevelt Island,47,Manhattan,#333
1163,Upper West Side,Turtle Bay-East Midtown,43,Manhattan,#333
1164,Upper West Side,West Village,37,Manhattan,#333
1165,Upper West Side,Battery Park City-Lower Manhattan,36,Manhattan,#333
1166,Upper West Side,East Harlem South,35,Manhattan,#333
1167,Upper West Side,SoHo-TriBeCa-Civic Center-Little Italy,31,Manhattan,#333
1168,Upper West Side,Murray Hill-Kips Bay,30,Manhattan,#333
1169,Upper West Side,Central Harlem South,26,Manhattan,#333
1170,Upper West Side,Yorkville,20,Manhattan,#333
1179,West Village,West Village,2737,Manhattan,#333
1180,West Village,Hudson Yards-Chelsea-Flatiron-Union Square,1771,Manhattan,#333
1181,West Village,SoHo-TriBeCa-Civic Center-Little Italy,1283,Manhattan,#333
1182,West Village,East Village,974,Manhattan,#333
1183,West Village,Midtown-Midtown South,571,Manhattan,#333
1184,West Village,Battery Park City-Lower Manhattan,519,Manhattan,#333
1185,West Village,Murray Hill-Kips Bay,380,Manhattan,#333
1186,West Village,Chinatown,378,Manhattan,#333
1187,West Village,Lower East Side,271,Manhattan,#333
1188,West Village,Gramercy,236,Manhattan,#333
1189,West Village,Clinton,215,Manhattan,#333
1190,West Village,Stuyvesant Town-Cooper Village,196,Manhattan,#333
1191,West Village,Turtle Bay-East Midtown,90,Manhattan,#333
1192,West Village,Lincoln Square,69,Manhattan,#333
1193,West Village,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,56,Manhattan,#333
1194,West Village,North Side-South Side,53,Manhattan,#333
1195,West Village,Upper West Side,42,Manhattan,#333
1196,West Village,Fort Greene,30,Manhattan,#333
1197,West Village,park-cemetery-etc-Manhattan,27,Manhattan,#333
1198,West Village,Lenox Hill-Roosevelt Island,18,Manhattan,#333
1199,West Village,Brooklyn Heights-Cobble Hill,17,Manhattan,#333
1200,West Village,Park Slope-Gowanus,13,Manhattan,#333
1201,West Village,Bedford,12,Manhattan,#333
1202,West Village,Upper East Side-Carnegie Hill,11,Manhattan,#333
1203,West Village,Clinton Hill,10,Manhattan,#333
1218,Williamsburg,North Side-South Side,16,Brooklyn,#34DDDD
1219,Williamsburg,East Williamsburg,10,Brooklyn,#34DDDD
1237,Yorkville,Yorkville,185,Manhattan,#333
1238,Yorkville,Lenox Hill-Roosevelt Island,159,Manhattan,#333
1239,Yorkville,East Harlem South,78,Manhattan,#333
1240,Yorkville,Turtle Bay-East Midtown,74,Manhattan,#333
1241,Yorkville,Upper East Side-Carnegie Hill,68,Manhattan,#333
1242,Yorkville,park-cemetery-etc-Manhattan,65,Manhattan,#333
1243,Yorkville,Midtown-Midtown South,64,Manhattan,#333
1244,Yorkville,East Harlem North,29,Manhattan,#333
1245,Yorkville,Hudson Yards-Chelsea-Flatiron-Union Square,26,Manhattan,#333
1246,Yorkville,Upper West Side,24,Manhattan,#333
1247,Yorkville,Murray Hill-Kips Bay,19,Manhattan,#333
1248,Yorkville,Lincoln Square,17,Manhattan,#333
1249,Yorkville,Clinton,10,Manhattan,#333
