tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
613,07/03/18 09:46:44,07/03/18 09:56:58,146,Hudson St & Reade St,40.71625008,-74.0091059,127,Barrow St & Hudson St,40.73172428,-74.00674436,19896,Subscriber,1966,1
1498,07/24/18 08:38:47,07/24/18 09:03:45,128,MacDougal St & Prince St,40.72710258,-74.00297088,528,2 Ave & E 31 St,40.74290902,-73.97706058,30935,Subscriber,1966,2
259,07/15/18 16:52:12,07/15/18 16:56:31,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,3409,Bergen St & Smith St,40.6867443,-73.99063168,15256,Subscriber,1970,1
370,07/02/18 16:46:45,07/02/18 16:52:55,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,3315,Henry St & Degraw St,40.6847514,-73.99917254,17537,Subscriber,1970,2
2345,07/07/18 23:43:53,07/08/18 00:22:58,79,Franklin St & W Broadway,40.71911552,-74.00666661,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,30750,Subscriber,1991,1
246,07/06/18 19:58:04,07/06/18 20:02:11,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,401,Allen St & Rivington St,40.72019576,-73.98997825,25464,Subscriber,1990,2
507,07/01/18 20:06:05,07/01/18 20:14:32,164,E 47 St & 2 Ave,40.75323098,-73.97032517,507,E 25 St & 2 Ave,40.73912601,-73.97973776,32073,Subscriber,1995,1
1300,07/04/18 19:50:17,07/04/18 20:11:57,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,474,5 Ave & E 29 St,40.7451677,-73.98683077,25723,Customer,1969,0
1158,07/31/18 21:14:01,07/31/18 21:33:20,128,MacDougal St & Prince St,40.72710258,-74.00297088,519,Pershing Square North,40.751873,-73.977706,32074,Subscriber,1993,2
240,07/08/18 17:13:36,07/08/18 17:17:36,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,32506,Subscriber,1986,2
777,07/18/18 08:21:03,07/18/18 08:34:01,143,Clinton St & Joralemon St,40.69239502,-73.99337909,3414,Bergen St & Flatbush Ave,40.68094472,-73.97567332,33239,Subscriber,1983,2
1709,07/20/18 19:16:23,07/20/18 19:44:53,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,25179,Customer,1969,0
724,07/28/18 17:27:09,07/28/18 17:39:13,128,MacDougal St & Prince St,40.72710258,-74.00297088,368,Carmine St & 6 Ave,40.73038599,-74.00214988,14629,Customer,1995,1
839,07/18/18 11:27:20,07/18/18 11:41:19,72,W 52 St & 11 Ave,40.76727216,-73.99392888,486,Broadway & W 29 St,40.7462009,-73.98855723,32388,Subscriber,1984,1
1275,07/02/18 13:53:29,07/02/18 14:14:45,164,E 47 St & 2 Ave,40.75323098,-73.97032517,285,Broadway & E 14 St,40.73454567,-73.99074142,30036,Customer,1969,0
209,07/13/18 16:32:26,07/13/18 16:35:56,128,MacDougal St & Prince St,40.72710258,-74.00297088,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,26569,Subscriber,1990,2
915,07/20/18 09:50:35,07/20/18 10:05:51,72,W 52 St & 11 Ave,40.76727216,-73.99392888,334,W 20 St & 7 Ave,40.74238787,-73.99726235,26438,Subscriber,1970,1
2987,07/02/18 23:29:01,07/03/18 00:18:48,128,MacDougal St & Prince St,40.72710258,-74.00297088,423,W 54 St & 9 Ave,40.76584941,-73.98690506,27553,Customer,1969,0
400,07/30/18 12:10:36,07/30/18 12:17:17,128,MacDougal St & Prince St,40.72710258,-74.00297088,223,W 13 St & 7 Ave,40.73781509,-73.99994661,28037,Subscriber,1983,2
380,07/20/18 09:28:02,07/20/18 09:34:22,143,Clinton St & Joralemon St,40.69239502,-73.99337909,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,27442,Subscriber,1961,1
508,07/01/18 19:19:37,07/01/18 19:28:06,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,3180,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,32387,Subscriber,1990,1
262,07/12/18 12:42:32,07/12/18 12:46:54,128,MacDougal St & Prince St,40.72710258,-74.00297088,254,W 11 St & 6 Ave,40.73532427,-73.99800419,19727,Subscriber,1992,1
632,07/22/18 19:07:43,07/22/18 19:18:15,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,302,Avenue D & E 3 St,40.72082834,-73.97793172,16927,Subscriber,1954,2
663,07/18/18 17:30:30,07/18/18 17:41:33,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,390,Duffield St & Willoughby St,40.69221589,-73.9842844,33343,Subscriber,1990,1
364,07/22/18 10:21:19,07/22/18 10:27:24,128,MacDougal St & Prince St,40.72710258,-74.00297088,265,Stanton St & Chrystie St,40.72229346,-73.99147535,26727,Subscriber,1969,0
1011,07/01/18 22:46:13,07/01/18 23:03:05,72,W 52 St & 11 Ave,40.76727216,-73.99392888,305,E 58 St & 3 Ave,40.76095756,-73.96724467,19115,Subscriber,1993,1
1143,07/12/18 08:40:53,07/12/18 08:59:57,150,E 2 St & Avenue C,40.7208736,-73.98085795,167,E 39 St & 3 Ave,40.7489006,-73.97604882,33335,Subscriber,1988,1
918,07/10/18 16:48:21,07/10/18 17:03:40,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,497,E 17 St & Broadway,40.73704984,-73.99009296,17107,Customer,1969,0
1509,07/31/18 18:32:31,07/31/18 18:57:40,79,Franklin St & W Broadway,40.71911552,-74.00666661,525,W 34 St & 11 Ave,40.75594159,-74.0021163,14586,Subscriber,1976,2
268,07/19/18 15:44:47,07/19/18 15:49:16,127,Barrow St & Hudson St,40.73172428,-74.00674436,3684,W 12 St & W 4 St,40.73756121,-74.00398269,30312,Subscriber,1992,1
1292,07/14/18 16:58:22,07/14/18 17:19:55,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3258,W 27 St & 10 Ave,40.75018156,-74.00218427,25823,Customer,1969,0
136,07/10/18 07:33:08,07/10/18 07:35:24,79,Franklin St & W Broadway,40.71911552,-74.00666661,257,Lispenard St & Broadway,40.71939226,-74.00247214,21410,Subscriber,1988,1
1833,07/11/18 20:57:41,07/11/18 21:28:15,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3162,W 78 St & Broadway,40.78339981,-73.98093133,14884,Customer,1969,0
881,07/06/18 09:54:48,07/06/18 10:09:30,127,Barrow St & Hudson St,40.73172428,-74.00674436,525,W 34 St & 11 Ave,40.75594159,-74.0021163,32858,Subscriber,1975,1
2133,07/06/18 06:50:57,07/06/18 07:26:31,79,Franklin St & W Broadway,40.71911552,-74.00666661,3664,North Moore St & Greenwich St,40.72019521,-74.01030064,25172,Subscriber,1988,1
2007,07/18/18 17:51:13,07/18/18 18:24:41,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,3376,E 65 St & 2 Ave,40.76471852,-73.9622207,27904,Subscriber,1987,1
337,07/24/18 10:19:57,07/24/18 10:25:34,127,Barrow St & Hudson St,40.73172428,-74.00674436,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,15138,Customer,1969,0
181,07/28/18 17:00:36,07/28/18 17:03:37,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,17797,Customer,1969,0
509,07/22/18 13:16:06,07/22/18 13:24:35,146,Hudson St & Reade St,40.71625008,-74.0091059,2010,Grand St & Greene St,40.72165481,-74.00234737,33397,Subscriber,1967,1
1468,07/24/18 15:30:21,07/24/18 15:54:49,127,Barrow St & Hudson St,40.73172428,-74.00674436,3461,Murray St & Greenwich St,40.71485151,-74.01122332,28701,Subscriber,1992,2
454,07/29/18 10:18:51,07/29/18 10:26:25,127,Barrow St & Hudson St,40.73172428,-74.00674436,401,Allen St & Rivington St,40.72019576,-73.98997825,26881,Subscriber,1983,1
490,07/24/18 22:20:13,07/24/18 22:28:23,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,350,Clinton St & Grand St,40.71559509,-73.9870295,16119,Subscriber,1988,1
